branch,seatpool,oprank,closerank,category
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,18067,18067,OBC-NCL
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,4685,4685,GEN-EWS
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,29963,36166,OPEN
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,1101,1101,OPEN (PwD)
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,6897,6897,SC
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,8077,8628,OBC-NCL
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,3863,3863,GEN-EWS
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,11326,23002,OPEN
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,1410,1410,OPEN (PwD)
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,5190,5190,SC
"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,18147,19315,OBC-NCL
"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,36560,41009,OPEN
